id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,85,2020
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,62,2010
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,75,1990
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,55,2020
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,92,2010
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,40,2000
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,45,1960
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,68,1980
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,58,2020
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,70,2010
11,Golden Hour Freestyle,Ray Vega,hip-hop,energetic,0.85,96,0.72,0.84,0.12,88,2000
12,Neon Pulse,Circuit Theory,electronic,intense,0.92,140,0.55,0.90,0.04,76,2010
13,Autumn Sonata,Clara Mist,classical,melancholy,0.22,68,0.38,0.25,0.97,30,1820
14,Velvet Nights,Sade Moon,r&b,romantic,0.58,88,0.76,0.70,0.45,82,1990
15,Campfire Stories,Pine & Wool,folk,nostalgic,0.33,84,0.62,0.42,0.94,65,1970
16,Iron Wake,Shatter Forge,metal,aggressive,0.97,172,0.30,0.52,0.03,50,2000
17,Salsa del Sol,Fuego Fresco,latin,upbeat,0.88,104,0.90,0.93,0.28,95,2020
18,Dusty Backroad,Hank Steele,country,nostalgic,0.50,100,0.64,0.55,0.82,72,1990
